instance,status,meanSolverTime,meanSRTime
inst-644-1822952153,graded,11.299,1.028
inst-644-19034017,graded,95.702,0.498
inst-644-1927683781,graded,244.237,0.981
inst-644-2112075539,graded,624.827,0.886
inst-644-215827268,graded,30.506,0.838
inst-644-322757527,graded,36.178,1.014
inst-644-484122292,graded,782.546,0.625
inst-644-875407424,graded,727.565,0.993
inst-652-1822952153,graded,13.53,0.612
inst-652-322757527,graded,23.004,0.992
inst-655-19034017,graded,16.755,1.223
inst-661-19034017,graded,1158.205,0.93
inst-661-322757527,graded,106.158,0.959
inst-663-215827268,graded,19.63,0.387
inst-664-19034017,graded,36.166,1.339
inst-664-215827268,graded,10.874,0.715
inst-664-322757527,graded,34.638,1.125
inst-665-1822952153,graded,89.807,1.566
inst-667-19034017,graded,605.587,0.832
inst-676-1822952153,graded,681.126,0.643
inst-676-215827268,graded,13.786,0.399
inst-677-1822952153,graded,10.056,0.83
inst-678-1822952153,graded,810.773,1.877
inst-678-215827268,graded,609.811,1.219
inst-682-1822952153,graded,17.655,0.653
inst-685-19034017,graded,65.301,0.89
inst-694-19034017,graded,402.732,0.909
inst-696-1822952153,graded,741.762,0.915
inst-698-1822952153,graded,34.985,0.932
inst-699-19034017,graded,12.839,0.627
inst-705-215827268,graded,16.983,0.577
inst-705-322757527,graded,23.18,0.721
inst-707-19034017,graded,82.626,1.194
inst-708-1822952153,graded,28.008,0.962
inst-710-1822952153,graded,47.051,0.856
inst-710-19034017,graded,70.94,0.798
inst-710-215827268,graded,568.309,0.515
inst-716-1822952153,graded,28.97,0.89
inst-716-19034017,graded,72.728,0.594
inst-716-215827268,graded,86.458,1.162
inst-716-322757527,graded,56.214,0.691
inst-717-1822952153,graded,29.483,1.064
inst-717-19034017,graded,923.781,0.777
inst-717-215827268,graded,13.705,1.325
inst-717-322757527,graded,10.336,2.276
inst-720-1822952153,graded,24.808,1.314
inst-720-215827268,graded,31.401,0.8
inst-720-322757527,graded,18.641,0.608
inst-721-1822952153,graded,16.318,0.592
inst-721-19034017,graded,634.687,1.167
inst-722-1822952153,graded,38.668,1.396
inst-722-19034017,graded,10.148,1.277
inst-722-215827268,graded,25.955,1.16
inst-722-322757527,graded,56.212,0.853
inst-723-19034017,graded,120.247,0.957
inst-727-1822952153,graded,1043.487,0.645
inst-728-1822952153,graded,12.55,1.834
inst-736-19034017,graded,13.513,0.826
inst-737-1822952153,graded,15.427,1.756
inst-737-19034017,graded,27.981,6.342
inst-737-215827268,graded,140.442,0.717
inst-737-322757527,graded,33.708,0.658
inst-740-19034017,graded,28.462,1.561
inst-740-215827268,graded,389.443,1.171
inst-740-322757527,graded,59.461,0.595
inst-742-1822952153,graded,25.295,0.485
inst-742-322757527,graded,13.026,1.826
inst-74-715166324,graded,11.654,1.117
inst-747-1822952153,graded,17.428,0.7
inst-747-19034017,graded,19.175,0.71
inst-748-322757527,graded,15.9,0.46
inst-754-322757527,graded,45.337,1.241
inst-755-1822952153,graded,89.886,1.436
inst-755-19034017,graded,855.273,1.27
inst-755-215827268,graded,15.086,0.491
inst-755-322757527,graded,15.543,1.029
inst-757-19034017,graded,34.292,0.984
inst-757-322757527,graded,26.825,1.812
inst-763-1822952153,graded,158.243,0.685
inst-763-215827268,graded,39.421,1.452
inst-765-1822952153,graded,140.934,0.476
inst-765-19034017,graded,87.73,0.506
inst-765-215827268,graded,121.378,0.778
inst-765-322757527,graded,61.257,1.423
inst-769-322757527,graded,560.249,0.645
inst-775-1822952153,graded,16.077,0.478
inst-777-215827268,graded,10.226,0.932
inst-777-322757527,graded,12.421,0.586
inst-780-1822952153,graded,10.367,0.672
inst-780-322757527,graded,48.793,2.917
inst-786-322757527,graded,619.284,0.854
inst-787-1822952153,graded,14.346,0.511
inst-787-19034017,graded,22.95,0.524
inst-791-322757527,graded,161.255,0.739
inst-795-1822952153,graded,386.347,0.587
inst-795-19034017,graded,159.101,0.947
inst-795-215827268,graded,39.73,0.565
inst-795-322757527,graded,10.512,1.216
inst-799-215827268,graded,28.049,1.852
inst-800-1822952153,graded,1094.647,1.005
inst-800-322757527,graded,1045.123,0.372
inst-801-19034017,graded,11.199,1.097
inst-803-1822952153,graded,125.207,0.474
inst-803-19034017,graded,212.762,0.282
inst-803-322757527,graded,35.334,1.202
inst-804-215827268,graded,14.935,1.708
inst-809-19034017,graded,12.373,0.433
inst-809-215827268,graded,17.69,0.651
inst-816-215827268,graded,17.179,0.519
inst-816-322757527,graded,31.604,0.382
inst-817-215827268,graded,172.092,0.441
inst-819-1822952153,graded,26.25,0.478
inst-824-1822952153,graded,82.319,5.328
inst-824-19034017,graded,28.062,0.7
inst-824-215827268,graded,23.193,0.541
inst-826-1822952153,graded,616.485,0.488
inst-826-215827268,graded,209.778,0.36
inst-828-1822952153,graded,16.289,1.175
inst-828-19034017,graded,14.291,0.652
inst-828-322757527,graded,18.868,1.019
inst-833-322757527,graded,508.116,1.07
inst-835-1822952153,graded,40.811,0.673
inst-835-322757527,graded,33.259,1.204
inst-837-322757527,graded,70.604,0.673
inst-87-1986116737,graded,16.942,0.314
inst-90-1710883418,graded,41.653,0.888
inst-93-1242700005,graded,42.19,1.166
inst-95-1986116737,graded,34.359,0.604
inst-103-1059134666,graded,232.975,2.008
inst-104-1059134666,graded,166.38,0.846
inst-104-1125634119,graded,111.802,1.247
inst-104-1362585030,graded,20.138,4.046
inst-105-725167965,graded,636.813,0.865
inst-109-1450488136,graded,748.829,1.798
inst-164-1006987790,graded,59.05,1.895
inst-185-138105639,graded,62.252,1.612
inst-193-1059134666,graded,978.399,1.395
inst-193-1678613759,graded,726.108,0.294
inst-201-1362585030,graded,135.381,2.024
inst-201-725167965,graded,122.229,1.745
inst-203-1059134666,graded,666.078,0.639
inst-203-1362585030,graded,563.889,2.608
inst-203-138105639,graded,505.985,0.966
inst-209-138105639,graded,30.107,0.899
inst-210-1006987790,graded,15.62,0.57
inst-210-1059134666,graded,38.242,2.507
inst-210-1125634119,graded,145.365,0.462
inst-210-1218912387,graded,30.682,0.728
inst-210-1362585030,graded,600.782,0.403
inst-210-138105639,graded,143.466,1.179
inst-210-1450488136,graded,35.269,0.346
inst-210-1678613759,graded,68.115,0.862
inst-210-236760788,graded,14.202,0.469
inst-210-53859469,graded,326.238,0.522
inst-210-622758660,graded,75.398,0.895
inst-210-657169740,graded,229.672,0.856
inst-210-725167965,graded,170.549,0.475
inst-210-744459472,graded,228.556,0.856
inst-224-138105639,graded,57.187,1.165
inst-229-1006987790,graded,910.761,0.806
inst-242-1125634119,graded,92.745,0.815
inst-242-1218912387,graded,178.657,0.932
inst-242-1362585030,graded,10.577,10.395
inst-242-1450488136,graded,29.588,0.355
inst-242-1678613759,graded,330.517,0.399
inst-242-236760788,graded,1152.681,0.686
inst-242-622758660,graded,566.52,1.201
inst-258-1006987790,graded,473.513,0.457
inst-258-1362585030,graded,23.796,0.538
inst-262-1362585030,graded,11.133,1.512
inst-262-622758660,graded,15.771,1.121
inst-278-236760788,graded,29.717,1.071
inst-281-236760788,graded,56.165,0.407
inst-286-236760788,graded,915.46,0.553
inst-289-1362585030,graded,807.891,7.024
inst-289-622758660,graded,202.652,0.898
inst-293-1006987790,graded,95.983,0.433
inst-293-622758660,graded,29.328,1.02
inst-296-53859469,graded,845.661,0.625
inst-297-1006987790,graded,270.965,0.609
inst-306-1362585030,graded,278.781,22.033
inst-315-622758660,graded,84.498,0.367
inst-331-1218912387,graded,12.375,0.572
inst-340-138105639,graded,389.504,0.444
inst-347-1125634119,graded,82.673,1.195
inst-347-1218912387,graded,125.382,45.004
inst-347-1362585030,graded,13.94,0.905
inst-347-138105639,graded,13.487,0.461
inst-347-236760788,graded,39.71,0.417
inst-347-53859469,graded,21.921,0.596
inst-347-657169740,graded,41.796,0.612
inst-347-744459472,graded,256.536,1.311
inst-360-138105639,graded,112.529,0.597
inst-360-1450488136,graded,375.003,0.901
inst-365-53859469,graded,352.955,0.86
inst-366-138105639,graded,53.428,0.612
inst-369-622758660,graded,15.801,0.69
inst-371-622758660,graded,1150.559,0.571
inst-374-138105639,graded,311.149,0.539
inst-376-1059134666,graded,27.043,1.164
inst-376-138105639,graded,31.644,5.911
inst-376-1450488136,graded,85.98,0.487
inst-381-138105639,graded,626.253,8.956
inst-381-1450488136,graded,374.293,0.664
inst-386-53859469,graded,14.262,0.543
inst-386-622758660,graded,15.225,0.494
inst-389-1006987790,graded,85.441,0.621
inst-389-1125634119,graded,86.759,0.443
inst-389-1218912387,graded,442.119,0.644
inst-389-1362585030,graded,609.398,0.645
inst-389-138105639,graded,211.585,0.308
inst-389-1678613759,graded,25.862,0.356
inst-389-622758660,graded,158.286,0.433
inst-399-1218912387,graded,50.436,1.201
inst-399-138105639,graded,55.092,9.214
inst-399-1450488136,graded,184.176,5.025
inst-399-622758660,graded,248.748,0.334
inst-422-622758660,graded,183.75,0.538
inst-434-622758660,graded,22.121,0.516
inst-435-1218912387,graded,35.218,0.558
inst-435-1450488136,graded,35.374,0.456
inst-436-657169740,graded,28.044,0.42
inst-445-1125634119,graded,12.809,0.815
inst-445-657169740,graded,619.331,0.652
inst-446-657169740,graded,37.751,1.083
inst-447-1059134666,graded,754.973,1.361
inst-447-1125634119,graded,221.511,1.414
inst-447-1218912387,graded,159.673,0.523
inst-447-1362585030,graded,465.34,1.441
inst-447-138105639,graded,33.229,0.669
inst-447-1450488136,graded,328.282,1.795
inst-447-1678613759,graded,177.051,0.802
inst-447-236760788,graded,65.259,0.947
inst-447-53859469,graded,53.175,1.475
inst-447-622758660,graded,429.274,0.885
inst-447-657169740,graded,378.763,0.578
inst-447-725167965,graded,37.189,0.748
inst-447-744459472,graded,46.293,1.564
inst-453-622758660,graded,26.698,0.638
inst-4-53859469,graded,29.056,1.305
inst-455-53859469,graded,18.811,0.698
inst-455-657169740,graded,17.864,1.064
inst-459-622758660,graded,27.055,1.453
inst-462-1362585030,graded,593.598,0.496
inst-464-53859469,graded,36.808,1.085
inst-465-53859469,graded,987.382,0.691
inst-465-657169740,graded,441.027,1.059
inst-468-622758660,graded,188.716,0.843
inst-475-657169740,graded,975.749,0.903
inst-487-1125634119,graded,255.566,0.54
inst-491-1362585030,graded,618.432,0.978
inst-494-1125634119,graded,412.912,0.816
inst-494-53859469,graded,374.512,0.62
inst-505-622758660,graded,136.42,0.848
inst-509-657169740,graded,332.414,0.453
inst-516-1362585030,graded,27.769,0.535
inst-517-53859469,graded,99.718,0.766
inst-518-1362585030,graded,62.974,0.551
inst-518-622758660,graded,17.719,0.614
inst-520-53859469,graded,65.655,0.488
inst-525-622758660,graded,12.187,0.364
inst-525-657169740,graded,77.164,0.342
inst-527-1125634119,graded,78.088,0.701
inst-527-1362585030,graded,55.61,0.676
inst-532-53859469,graded,11.073,0.53
inst-546-1362585030,graded,610.47,0.873
inst-546-622758660,graded,431.511,0.491
inst-548-1125634119,graded,61.218,0.784
inst-550-657169740,graded,635.083,1.619
inst-551-53859469,graded,42.699,0.625
inst-554-657169740,graded,13.075,0.599
inst-555-1125634119,graded,969.46,0.497
inst-555-622758660,graded,648.014,1.08
inst-562-53859469,graded,282.809,0.915
inst-562-657169740,graded,131.401,0.658
inst-563-1125634119,graded,262.219,1.19
inst-563-1678613759,graded,27.692,0.797
inst-563-622758660,graded,11.205,1.17
inst-569-1006987790,graded,57.56,0.516
inst-569-1059134666,graded,181.252,0.825
inst-569-1125634119,graded,94.128,1.172
inst-569-1218912387,graded,209.003,1.687
inst-569-1362585030,graded,466.134,1.12
inst-569-138105639,graded,213.072,0.679
inst-569-1678613759,graded,1004.579,0.518
inst-569-236760788,graded,52.1,0.721
inst-569-53859469,graded,140.181,1.624
inst-569-622758660,graded,817.55,0.693
inst-569-657169740,graded,239.907,0.669
inst-569-725167965,graded,731.004,1.055
inst-569-744459472,graded,22.087,1.364
inst-579-236760788,graded,1047.315,0.914
inst-587-1006987790,graded,11.85,2.546
inst-587-138105639,graded,66.344,1.594
inst-587-1450488136,graded,15.377,1.603
inst-587-622758660,graded,495.021,0.825
inst-587-725167965,graded,578.27,0.539
inst-587-744459472,graded,94.864,1.469
inst-588-1006987790,graded,36.347,0.36
inst-588-1059134666,graded,50.017,1.963
inst-588-1125634119,graded,46.106,1.256
inst-588-1218912387,graded,32.708,5.942
inst-588-138105639,graded,13.436,2.062
inst-588-1450488136,graded,108.49,1.502
inst-588-236760788,graded,34.592,2.142
inst-588-53859469,graded,31.525,0.574
inst-588-657169740,graded,89.298,0.672
inst-588-725167965,graded,15.314,0.953
inst-588-744459472,graded,11.261,0.876
inst-590-725167965,graded,11.896,0.401
inst-59-1362585030,graded,53.563,0.586
inst-596-138105639,graded,217.473,0.588
inst-596-622758660,graded,284.494,0.512
inst-598-744459472,graded,31.641,0.994
inst-601-622758660,graded,600.192,1.103
inst-602-1006987790,graded,63.02,2.213
inst-602-1059134666,graded,63.196,4.382
inst-602-1125634119,graded,45.902,0.496
inst-602-1218912387,graded,11.838,69.51
inst-602-1362585030,graded,17.567,10.253
inst-602-138105639,graded,18.854,0.513
inst-602-1450488136,graded,126.489,0.417
inst-602-1678613759,graded,31.998,0.787
inst-602-236760788,graded,31.604,0.91
inst-602-53859469,graded,98.763,0.441
inst-602-622758660,graded,30.799,1.803
inst-602-657169740,graded,13.409,33.422
inst-602-725167965,graded,10.95,1.812
inst-602-744459472,graded,27.722,1.31
inst-604-138105639,graded,18.368,1.48
inst-604-744459472,graded,100.391,2.366
inst-610-1678613759,graded,11.912,1.201
inst-610-236760788,graded,167.878,0.906
inst-610-744459472,graded,18.544,0.51
inst-613-236760788,graded,36.161,0.581
inst-614-138105639,graded,10.087,1.485
inst-614-725167965,graded,494.852,0.885
inst-616-744459472,graded,470.14,0.603
inst-622-1059134666,graded,37.133,20.143
inst-622-1125634119,graded,13.144,0.418
inst-622-1218912387,graded,54.625,18.377
inst-622-1450488136,graded,477.427,0.654
inst-622-1678613759,graded,119.421,1.535
inst-622-236760788,graded,32.677,0.612
inst-622-53859469,graded,229.349,0.444
inst-622-622758660,graded,15.383,0.717
inst-622-657169740,graded,44.15,33.153
inst-622-725167965,graded,58.778,0.979
inst-622-744459472,graded,27.532,1.016
inst-629-1006987790,graded,13.891,2.61
inst-629-1059134666,graded,26.17,8.995
inst-629-1125634119,graded,84.866,0.587
inst-629-1218912387,graded,39.816,28.593
inst-629-1362585030,graded,15.79,17.572
inst-629-1678613759,graded,12.79,1.659
inst-629-236760788,graded,66.869,1.226
inst-629-53859469,graded,17.021,0.364
inst-629-622758660,graded,20.881,0.789
inst-629-657169740,graded,85.508,20.362
inst-629-725167965,graded,133.625,2.992
inst-629-744459472,graded,32.562,0.922
inst-630-622758660,graded,708.921,0.69
inst-633-138105639,graded,132.306,2.25
inst-633-725167965,graded,257.065,0.948
inst-637-236760788,graded,170.932,0.718
inst-639-1006987790,graded,129.967,0.707
inst-639-1059134666,graded,131.179,2.425
inst-639-1125634119,graded,49.003,0.909
inst-639-1218912387,graded,206.193,18.729
inst-639-1362585030,graded,59.132,13.58
inst-639-1450488136,graded,31.719,0.885
inst-639-1678613759,graded,68.632,1.369
inst-639-236760788,graded,17.6,1.825
inst-639-53859469,graded,36.988,0.524
inst-639-622758660,graded,36.822,0.848
inst-639-657169740,graded,30.129,33.469
inst-639-725167965,graded,25.1,2.318
inst-639-744459472,graded,276.394,0.908
inst-644-1006987790,graded,16.842,2.093
inst-644-1059134666,graded,21.894,0.774
inst-644-1125634119,graded,17.027,0.577
inst-644-1218912387,graded,108.528,22.209
inst-644-1362585030,graded,46.363,5.961
inst-644-138105639,graded,47.258,0.653
inst-644-1450488136,graded,13.095,0.519
inst-644-1678613759,graded,13.12,0.536
inst-644-236760788,graded,25.103,0.825
inst-644-53859469,graded,19.36,0.401
inst-644-622758660,graded,17.166,0.801
inst-644-657169740,graded,13.945,123.073
inst-644-725167965,graded,70.058,4.542
inst-644-744459472,graded,84.547,1.017
inst-648-1125634119,graded,15.492,0.474
inst-648-1678613759,graded,12.488,2.279
inst-648-622758660,graded,16.077,0.636
inst-648-725167965,graded,16.466,0.938
inst-652-622758660,graded,494.518,0.666
inst-653-622758660,graded,11.776,1.057
inst-653-744459472,graded,279.77,0.654
inst-654-236760788,graded,42.202,0.795
inst-654-622758660,graded,168.33,0.477
inst-654-725167965,graded,451.44,0.848
inst-654-744459472,graded,662.171,0.767
inst-657-622758660,graded,125.423,0.919
inst-659-744459472,graded,18.087,0.826
